na_item,geo,year,Total employment domestic concept
EMP_DC,IS,2017,0.0
EMP_DC,IT,2017,24940.8
EMP_DC,LI,2017,38.66
EMP_DC,LT,2017,1364.44
EMP_DC,LU,2017,432.19
EMP_DC,LV,2017,885.99
EMP_DC,ME,2017,0.0
EMP_DC,MK,2017,812.32
EMP_DC,MT,2017,229.09
EMP_DC,NL,2017,9116.0
EMP_DC,NO,2017,2748.0
EMP_DC,PL,2017,16315.0
EMP_DC,PT,2017,4826.19
EMP_DC,RO,2017,8631.2
EMP_DC,RS,2017,3318.22
EMP_DC,SE,2017,5100.0
EMP_DC,SI,2017,989.53
EMP_DC,SK,2017,2372.26
EMP_DC,UK,2017,32060.17
EMP_DC,XK,2017,0.0
EMP_DC,AT,2018,4498.65
EMP_DC,BE,2018,4804.5
EMP_DC,BG,2018,3521.64
EMP_DC,CH,2018,5064.55
EMP_DC,CY,2018,431.45
EMP_DC,CZ,2018,5359.13
EMP_DC,DE,2018,44878.0
EMP_DC,DK,2018,2961.81
EMP_DC,EE,2018,649.51
EMP_DC,EL,2018,4650.3
EMP_DC,ES,2018,19938.4
EMP_DC,FI,2018,2613.6
EMP_DC,FR,2018,28327.8
EMP_DC,HR,2018,1645.35
EMP_DC,HU,2018,4605.93
EMP_DC,IE,2018,2264.14
EMP_DC,IS,2018,0.0
EMP_DC,IT,2018,25194.0
EMP_DC,LI,2018,39.64
EMP_DC,LT,2018,1383.18
EMP_DC,LU,2018,447.72
EMP_DC,LV,2018,903.88
EMP_DC,ME,2018,0.0
EMP_DC,MK,2018,813.29
EMP_DC,MT,2018,244.83
EMP_DC,NL,2018,9361.0
EMP_DC,NO,2018,2792.0
EMP_DC,PL,2018,16403.7
EMP_DC,PT,2018,4942.32
EMP_DC,RO,2018,8638.8
EMP_DC,RS,2018,3364.01
EMP_DC,SE,2018,5186.0
EMP_DC,SI,2018,1020.88
EMP_DC,SK,2018,2419.9
EMP_DC,UK,2018,32442.96
EMP_DC,XK,2018,0.0
EMP_DC,AT,2019,4549.87
EMP_DC,BE,2019,4880.4
EMP_DC,BG,2019,3467.68
EMP_DC,CH,2019,5101.73
EMP_DC,CY,2019,452.13
EMP_DC,CZ,2019,5351.37
EMP_DC,DE,2019,45291.0
EMP_DC,DK,2019,3004.19
EMP_DC,EE,2019,646.96
EMP_DC,EL,2019,4752.0
EMP_DC,ES,2019,20467.1
EMP_DC,FI,2019,2652.1
EMP_DC,FR,2019,28662.0
EMP_DC,HR,2019,0.0
EMP_DC,HU,2019,4651.67
EMP_DC,IE,2019,2335.31
EMP_DC,IS,2019,0.0
EMP_DC,IT,2019,25349.0
EMP_DC,LI,2019,40.61
EMP_DC,LT,2019,1390.43
EMP_DC,LU,2019,463.33
EMP_DC,LV,2019,922.19
EMP_DC,ME,2019,0.0
EMP_DC,MK,2019,831.07
EMP_DC,MT,2019,259.79
EMP_DC,NL,2019,9573.0
EMP_DC,NO,2019,2836.0
EMP_DC,PL,2019,0.0
EMP_DC,PT,2019,4983.27
EMP_DC,RO,2019,8649.5
EMP_DC,RS,2019,3374.02
EMP_DC,SE,2019,5219.0
EMP_DC,SI,2019,1045.71
EMP_DC,SK,2019,2445.19
EMP_DC,UK,2019,32794.59
EMP_DC,XK,2019,0.0
EMP_DC,AT,2020,4475.28
EMP_DC,BE,2020,4875.1
EMP_DC,BG,2020,3406.13
EMP_DC,CH,2020,5076.21
EMP_DC,CY,2020,450.44
EMP_DC,CZ,2020,5227.23
EMP_DC,DE,2020,44966.0
EMP_DC,DK,2020,2970.85
EMP_DC,EE,2020,644.09
EMP_DC,EL,2020,4629.8
EMP_DC,ES,2020,19567.0
EMP_DC,FI,2020,2590.0
EMP_DC,FR,2020,28645.3
EMP_DC,HR,2020,1611.03
EMP_DC,HU,2020,4615.8
EMP_DC,IE,2020,2277.13
EMP_DC,IS,2020,0.0
EMP_DC,IT,2020,24830.1
EMP_DC,LI,2020,40.33
EMP_DC,LT,2020,1368.88
EMP_DC,LU,2020,471.59
EMP_DC,LV,2020,915.93
EMP_DC,ME,2020,0.0
EMP_DC,MK,2020,773.48
EMP_DC,MT,2020,267.54
EMP_DC,NL,2020,9524.0
EMP_DC,NO,2020,2792.0
EMP_DC,PL,2020,16831.9
EMP_DC,PT,2020,4884.37
EMP_DC,RO,2020,8472.1
EMP_DC,RS,2020,3343.97
EMP_DC,SE,2020,5153.0
EMP_DC,SI,2020,1038.44
EMP_DC,SK,2020,2399.07
EMP_DC,UK,2020,0.0
